City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
329,Islamkot,PK,24.6997,70.177,85.71,67,96,13.11,overcast clouds
330,Dryden,CA,49.7833,-92.7503,75.49,64,75,14.97,broken clouds
331,Molina,CL,-35.1167,-71.2833,57.18,52,99,6.06,overcast clouds
332,Maromitsa,RU,59.8683,48.0123,64.89,72,19,1.66,few clouds
333,Brewster,US,41.3973,-73.6171,94.26,60,0,4.61,clear sky
334,Sao Lourenco Do Sul,BR,-31.3653,-51.9783,54.1,68,91,8.95,overcast clouds
335,Cabo San Lucas,MX,22.8909,-109.9124,97.61,51,20,9.22,few clouds
336,Oksfjord,NO,70.2396,22.3479,57.27,71,77,4.18,broken clouds
337,Melinesti,RO,44.5667,23.7167,91.9,26,6,0.72,clear sky
338,Shirokiy,RU,49.758,129.523,64.71,95,98,7.05,overcast clouds
339,Requena,ES,39.4883,-1.1004,81.79,39,0,14.27,clear sky
340,Ganzhou,CN,28.8184,115.4327,81.45,74,38,4.81,scattered clouds
341,Borba,BR,-4.3878,-59.5939,98.87,27,9,6.44,clear sky
342,Bariadi,TZ,-2.8,33.9833,76.17,35,58,9.93,broken clouds
